13,12,4,5,102,103,104,105,1,3,112,110,2,113,10,114,115,116,117,7,8,9,301,0,302
108,108,108,108,108,108,108,107,108,106,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
300,300,300,300,300,300,300,300,300,300,300,300,111,300,300,300,300,300,300,300,300,300,300,300,300
119,119,119,119,119,119,119,118,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
4,4,100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
109,109,109,6,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
6,6,6,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,606,120,303,303,303,303,303
304,304,304,304,304,304,304,121,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,122,122,122
305,11,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
124,11,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
125,12,125,125,125,125,125,125,125,125,125,125,125,125,10,125,125,125,125,125,125,125,125,125,125
13,13,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,14,126,126,126
13,13,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
6,6,6,101,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
